Идентификатор,"Наименование и адрес (местоположение) объекта капитального строительства, применительно к которому подготовлена проектная документация",Расчетный тип объекта
000352ac-d728-470f-b466-dbaf03df82ad,"Строительство автомобильной дороги общего пользования регионального значения в Самарской области, Северное шоссе. 5 этап, расположенной в г.о. Самара",Автомобильные дороги
0004719e-2520-4e50-92ab-b26be1e9ed0e,Капитальный ремонт автомобильной дороги по ул. Черноморская от ул. Солнечная до ул. Суворова в ст. Анапская,Автомобильные дороги
000f1480-522e-4e22-94fd-539f1e93a22b,"Капитальный ремонт автомобильной дороги общего пользования г. Оренбурга, мкр. Ростошинские пруды, ул. Двинская (от ул. Волжской до ул. Баргузинской)",Автомобильные дороги
0012f905-46ab-4648-b519-2f1f7e2c2b1a,"""Капитальный ремонт автомобильной дороги Р-241 Казань - Буинск - Ульяновск, подъезд к г. Самара на участке км 365+300 - км 374+000, Самарская область""",Автомобильные дороги
001ae5dc-0cb7-40be-b52e-5e33dec04fb7,"Реконструкция дорожного покрытия ул. Пограничная, в с. Ташла, Ташлинского района, Оренбургской области",Автомобильные дороги
001b7f95-61fa-4d88-bea1-cdd847062ca3,Строительство автомобильной дороги по ул. Московская в с. Сабаево Кочкуровского муниципального района Республики Мордовия,Автомобильные дороги
001ccaea-194d-47c4-9062-8d2ff868ef4e,"Дорога, инженерные сети.",Автомобильные дороги
002acdb3-6e50-4794-86ee-26bf4b61d84c,"""Строительство улично-дорожной сети с искусственными сооружениями и переустройством инженерных коммуникаций на участке от ул. Грайвороновская до ул. Шоссейной, включая транспортную развязку на пересечении с Волгоградским проспектом"" Этап 4. Переустройство высоковольтных кабельных линий напряжением 110 кВ. Корректировка",Автомобильные дороги
00304358-8dcf-4b86-956f-c72764fb712f,"Реконструкция ул. Дубровинского от ул. Горького до ул. Бограда, 65",Автомобильные дороги
0030b1dc-7d9d-4ae1-b49c-3d0d0d46020b,Проезд по с. Грязное Александровского сельсовета Советского района Курской области,Автомобильные дороги
0032ed93-c318-4b36-9aa3-f96febe8c28f,Ремонт дорожной одежды по улице Октябрьская (от автодороги регионального значения) и улице К.Маркса (от ул. Октябрьская) в с. Частоозерье Частоозерского муниципального округа Курганской области,Автомобильные дороги
