Идентификатор,"Наименование и адрес (местоположение) объекта капитального строительства, применительно к которому подготовлена проектная документация",Расчетный тип объекта
00138276-9625-49c3-8813-d8ec26207665,"Подключение к централизованной системе водоотведения объекта: Жилой дом с инженерными сетями и благоустройством территории (со сносом жилых зданий по адресам: ул. Восточная д. 1, корп. 1 и Пересветов пер., д. 1, корп. 2) по адресу: г. Москва, район Даниловский, Восточная ул., 1",Водоотведение
002dd3f5-f08b-4306-8413-6381c78b71fb,"Реконструкция участка улицы Рудницкого в микрорайоне ""Южный-3"" в г.Кирове с устройством ливневой и хоз.-бытовой канализации в границах и за границами реконструируемого участка",Водоотведение
00328c3e-ba22-47a5-9c20-b1f07b87e4bb,"Сети водоотведения для жилой застройки территории земельного участка площадью 55,3 га с кадастровым номером 66:28:2901044:19, расположенного по адресу: Свердловская область, Талицкий район, г. Талица, ул. Луначарского, д. 150",Водоотведение
004bbdcd-3b49-4fb3-942e-3a9a9d9b662f,"""Строительство наружных сетей канализации по ул.Грибоедова в с.Каштановое Симферопольского района Перовского сельского поселения Республики Крым""",Водоотведение
0069861f-2c53-4dfd-a55c-3ba536e245b5,"Технологическое присоединение к централизованной системе водоотведения поверхностных сточных вод ГУП ""Мосводосток"" объекта: ""Жилой дом с электросиреной оповещения на кровле с инженерными сетями и благоустройством территории (со сносом жилых и нежилых зданий по адресам: ул. Заводская, д.12Б ул. Заводская, д.14 ул. Заводская, д.14А ул. Заводская, д. 16 ул. Заводская, д. 18, стр.11)."" по адресу: г. Москва, район Крюково, г. Зеленоград, ул. Заводская, 14 (Зеленоградский административный округ) (ППТ микрорайон 19 район Крюково города Москвы)",Водоотведение
00832802-2367-4395-be0a-663348e2a1b6,"""Строительство системы самотечной канализации, новой канализационной насосной станции (КНС) на территории микрорайона ""Бирград"" и напорной канализации от новой КНС до существующей камеры гашения в районе жилого дома No 14 по ул. Парковая, реконструкция камеры гашения в г. Биробиджане Еврейской автономной области""",Водоотведение
0086ef58-550c-4051-91fd-be27b751d7e9,"Вынос сетей канализации по объекту: ""Жилой дом с электросиреной оповещения на кровле с инженерными сетями и благоустройством территории (со сносом жилых и нежилых зданий по адресам: ул. Заводская, д.12Б ул. Заводская, д.14 ул. Заводская, д.14А ул. Заводская, д.16) по адресу: г. Москва, район Крюково, г. Зеленоград, ул. Заводская, 14 (Зеленоградский административный округ) (проект планировки территории микрорайона 19 района Крюково города Москвы)""",Водоотведение
00e47f14-4efe-4a06-be26-a18683a5b4cd,"Модернизация систем коммунальной инфраструктуры. Капитальный ремонт разводящих канализационных сетей муниципального образования "" Город Таганрог"" L=48км, Ду= 100-300 мм",Водоотведение
00faf59f-d94d-4512-a62c-0e82cd82060f,"Подключение к централизованной системе водоотведения объекта: Учебные корпуса и административные здания с адресным ориентиром: пересечение 2-ой Бауманской ул. и Бригадирского пер., Госпитальная набережная, 4с1А по адресу: г. Москва, 2-я Бауманская ул., вл. 7, стр. 1А, ул. 2-ая Бауманская, вл. 5, (участок - 1.1)",Водоотведение
00fd7cdc-fa93-4713-9096-a0939c5d84d1,"""Капитальный ремонт ливневой канализации мкр. Загородный в районе домов №62,64,66 и МБДОУ №14 ""Антошка""",Водоотведение
012333de-cb46-4703-a48b-a85cfb220321,"Реконструкция системы водоотведения Елизовского городского поселения. 1 Этап. Реконструкция КОС-29км, строительство сливной станции.",Водоотведение
