Идентификатор,"Наименование и адрес (местоположение) объекта капитального строительства, применительно к которому подготовлена проектная документация",Расчетный тип объекта
0005a896-9f7b-40c1-ba73-e46f109635f0,"Капитальный ремонт части сооружения (водопровода) с кадастровым номером 26:21:0000000:18345, протяженностью 3км., расположенной от пересечения улиц Школьная/Прогонная до поворота на башню Рожновского с кадастровым номером 56:21:1401015:166, по улицам Чкалова, Почтовая, Куйбышева с. Нежинка Оренбургского района Оренбургской области",Водопроводы
000aa6b8-2ab0-4787-aff4-d8c065ea9890,"Вынос сетей водоснабжения по объекту ""Жилой дом с подземной автостоянкой, инженерными сетями и благоустройством территории по адресу: г. Москва, внутригородское муниципальное образование Зюзино, улица Херсонская, земельный участок 14 (участок 1.4) (ППТ кварталов 40, 41, 42 района Зюзино города Москвы (ЮЗАО))",Водопроводы
000e9edf-099c-4fe9-b0cd-45ca38b980af,Строительство сетей водоснабжения новых жилых микрорайонов в п. Караванный Оренбургского района Оренбургской области,Водопроводы
0042dbda-df01-4704-b5fe-c2785b4919a3,Казьминский групповой водопровод Кочубеевского района,Водопроводы
00486fec-15e2-48a7-982d-da2ffb582193,Реконструкция водопроводных сетей в п.Красный Яр Кубовинского сельсовета Новосибирского района Новосибирской области,Водопроводы
004f3b2b-798e-4d96-9585-b5e38026a951,Высоконапорный водовод от задвижки скв. №12 до скв. №8 Голодяевского месторождения,Водопроводы
004f437c-2b0f-4fcc-958e-60af2ae4e6d1,"Капитальный ремонт водопроводных сетей в станице Октябрьской Крыловского района Краснодарского края по ул. Ленина от ул. Першина до ул. Индустриальной, по ул. Индустриальной от ул. Красногвардейская до ул. Карла Маркса",Водопроводы
0054347c-074b-4fae-beb8-0bcf90faaf98,Реконструкция сетей водоснабжения в с. Дубъязы Высокогорского муниципального района Республики Татарстан,Водопроводы
00556496-c5a2-4806-9c29-354e51de2408,"Капитальный ремонт тепловых сетей, тепловых камер и сетей водопровода магистральных участков: ул. Профсоюзная-котельная №1 в р.п. Мама Иркутской области",Водопроводы
0064c6a8-1e4a-4b93-9fe8-f1480f721b60,Реконструкция сетей водоснабжения в с.Новая Деревня,Водопроводы
