Идентификатор,"Наименование и адрес (местоположение) объекта капитального строительства, применительно к которому подготовлена проектная документация",Расчетный тип объекта
001f17d2-7df2-44ec-9b14-1692fd4b18db,"Благоустройство территории ФАП по адресу: Ленинградская область, Волховский муниципальный район, Усадищенское сельское поселение, д. Усадище, участок № 128А","Газоны, дорожки, площадки, фонтаны"
003094e3-8e06-433a-b91d-8fd7e412175e,"""Благоустройство общественной территории, расположенной по адресу: Запорожская область, г. Мелитополь, пр. Б. Хмельницкого, 64-66 (ЭКО-ПАРК)""","Газоны, дорожки, площадки, фонтаны"
0036818c-be1a-40ca-81b1-c349f4a0383b,"Технологическая часть ТПУ на станции метро ""Нагатинский затон"" Этап 1: ""Благоустройство на пуск станции ""Нагатинский затон"". Корректировка","Газоны, дорожки, площадки, фонтаны"
00379ea3-c5e6-4066-b2a1-928041ee3c67,"""Благоустройство сквера ""Нефтяников"", расположенного по адресу: г. Тюмень, ул. Мельникайте, д. 72""","Газоны, дорожки, площадки, фонтаны"
00477abc-189e-4408-a550-64b600f97081,Благоустройство иной территории общего пользования по ул.Дзержинского,"Газоны, дорожки, площадки, фонтаны"
007ca8a7-7714-444b-b023-4034da8fa089,Благоустройство ул. Кировская аллея в г. Кандалакша (продолжение): Покрытие территории,"Газоны, дорожки, площадки, фонтаны"
00804080-ab6b-42a5-8359-2a05e2595cc1,"Ремонт дворовой территории жилого дома по адресу: Кемеровская область, г. Прокопьевск, ул. Ноградская, д.2а","Газоны, дорожки, площадки, фонтаны"
00811fff-f86a-4a79-bf80-9b6d4a14e8b2,"Благоустройство территории прилегающего к некапитальному объекту для отдыха детей и их оздоровления, расположенного по адресу: Оренбургская область, г. Оренбург, микрорайон ""Зона отдыха ""Дубки-2""","Газоны, дорожки, площадки, фонтаны"
00984ad5-6c09-46db-a2a5-97ed4a401624,"Благоустройство территории озера Семеновское с возведением здания ""Домик Моржей""","Газоны, дорожки, площадки, фонтаны"
009f2739-657b-4172-9ec9-1c3f199cc9d0,"""Благоустройство (капитальный ремонт) придомовой территории многоквартирных домов, по адресу: Республики Крым, Белогорский район село Васильевка, ул. Школьная, д.1,д.2,д.3""","Газоны, дорожки, площадки, фонтаны"
00aa4e7c-c29e-4d8e-98d0-695fd078de57,Волхонское шоссе на участке от ул. Энгельса до ул. Фронтовая. Этап 1 (тротуары).,"Газоны, дорожки, площадки, фонтаны"
00c1a1a7-4ce3-412d-bb4a-87a522d9f7c3,"Благоустройство сквера по ул. Тимирязева г. Грозный, Чеченская Республика","Газоны, дорожки, площадки, фонтаны"
00c3bdab-e3f8-4184-a0dd-24749d751800,"Благоустройство территории в рамках программы: Возведение арт-объекта ""Жилище раннего железного века"", расположенного по адресу: Курганская область Белозерский район с. Зюзино","Газоны, дорожки, площадки, фонтаны"
00c8c65f-1808-4f10-8f81-8368087940b4,"Работы по сохранению объектов культурного наследия (Благоустройство территории объекта культурного наследия регионального значения ""Нижегородский откос"" (г.Нижний Новгород, Нижегородский район, склон горы между Чкаловской лестницей, Нижне-Волжской набережной, Казанским съездом, Верхне-Волжской набережной), включая территорию объекта культурного наследия регионального значения ""Александровский сад"" (г.Нижний Новгород, Нижегородский район, склон горы между Георгиевским, Казанским съездами, Верхне - Волжской набережной) Устройство (создание) в границах Объекта функционального элемента благоустройства - сооружения павильонного типа вспомогательного общественного назначения (для проведения культурно-досуговых и просветительских мероприятий)","Газоны, дорожки, площадки, фонтаны"
00d55b93-04c9-45de-85d4-86703751005e,"Благоустройство прилегающей территории объекта по адресу: Владимирская область, г. Судогда, ул. Химиков д.3","Газоны, дорожки, площадки, фонтаны"
00d56016-4f8b-4a9f-ada2-3e4f10badd92,"Благоустройство придомовой территории многоквартирного дома по адресу: Кемеровская область - Кузбасс, г. Кемерово пр.Ленина 77а","Газоны, дорожки, площадки, фонтаны"
00e29dcc-f94c-4519-983b-2eeadd255b70,Ремонт дворовых территорий МКД в г. Мантурово Костромской области в 2023 году.,"Газоны, дорожки, площадки, фонтаны"
00e36617-b40f-4d6b-a1c0-8660cbcb74a6,"""Капитальный ремонт ограждения территории ГБОУ ""Школа-интернат для детей-сирот и детей оставшихся без попечения родителей ""Дом детства""""","Газоны, дорожки, площадки, фонтаны"
