Идентификатор,"Наименование и адрес (местоположение) объекта капитального строительства, применительно к которому подготовлена проектная документация",Расчетный тип объекта
00179476-99b0-44ad-bfc3-207b36e47bc2,"Строительство газопровода среднего давления в рамках социальной газификации по адресу: Московская область, г.о. Серпухов, деревня Калиново. д.89Б",Газопроводы
001ade1f-2835-44c3-ad88-9079f85d5a23,"""Газопровод распределительный по ул. Ленина, ул. Дачная и пр. Ленинградский в г. Архангельск (код стройки 029-24-290-000037)""",Газопроводы
001d4fbe-750d-4a1d-9932-1c7961a489e5,"Догазификация населенного пункта - расположенного по адресу: Московская область, Дмитровский г.о., д. Тендиково, (ТЗ 19240)",Газопроводы
002859bf-b491-47a8-997d-0590c59a3278,Газораспределительные сети д. Суроны Шарканского района Удмуртской Республики,Газопроводы
003f3801-1338-4903-93a0-f08be0172458,"""Сооружение (газопровод, в состав которого входят 54 ГРП), назначение: сеть газоснабжения, Протяженность: 400449,29 п.м, инвентарный номер 90530, адрес (местонахождение) объекта: Нижегородская область, г. Нижний Новгород, Автозаводский, Ленинский, Канавинский районы"" Техническое перевооружение газопровода (замена запорной арматуры) г. Нижний Новгород, пр. Ильича у д.65 (код стройки 23814-20-88)",Газопроводы
0049c700-e8a6-431d-b52b-940c70912419,"Газоснабжение мойки самообслуживания по адресу: Рязанская область, Рязанский район, с. Дубровичи, кадастровый №62:15:0050509:100.",Газопроводы
00535380-cbec-4fb0-81b7-3296fc2aa5b7,"""Газопровод-перемычка Ду500""",Газопроводы
0059e315-0e30-48ab-a242-468d057b10aa,"Газификация промышленных объектов АО ""ГосНИИмаш"": объект 550 по адресу: Нижегородская обл., г. Дзержинск, пр-т Свердлова, д.11А объект 550Э по адресу: Нижегородская обл., г. Дзержинск, пр-т Свердлова, д.1"". Корректировка проекта",Газопроводы
005c8cd6-3b64-44f0-8c81-444ce092b705,"""Газификация жилого дома. Подключение внутридомового газового оборудования индивидуальных домовладений к сетям газораспределения (газопровод-ввод) и ВДГО. Ленинградская область, Выборгский район, п. Клеверное, ул. Полевая, д. 1. Газоснабжение жилого дома (кад. №47:01:1629001:4421)""",Газопроводы
00695dc6-2b0a-447d-a868-4b512cb14f65,"""Газоснабжение котельной для отопления производственной площадки ООО ЖСК ""Комфортное жилье"".",Газопроводы
006977be-3199-47e6-bdd5-d2ecf9eaaa40,"Наружные сети газоснабжения к ЗУ 06.3. ОЭЗ ППТ ""Узловая"".",Газопроводы
006c237b-8c03-418c-8424-f1b7aa7d157b,"Строительство сетей газораспределения ул. Космонавтов, с. Тепловка Симферопольского района",Газопроводы
0078252a-68a7-4535-b796-b70bc27b3746,"Межпоселковый газопровод высокого давления от ГРС ст. Тацинская к п. Сухая Балка, п. Новосуховый, п. Лубяной, х. Араканцев, х. Дымков, х. Зазерский, х. Кустоватов с отводом на х.Крылов Тацинского района Ростовской области",Газопроводы
00879c9e-ee97-438d-b4fb-a76808dc1963,"""Догазификация ПКН и ИП ООО ""Каменскхимволокно"" по адресу: Ростовская область, г. Каменск-Шахтинский, ул. Сапрыгина №1""",Газопроводы
0087fe6e-c54b-4f36-b8f8-e87a49661590,"Распределительный подземный газопровод среднего давления, назначение: нежилое,0-этажный (подземных этажей-0), протяженность 21569,40 м, инв. №24:401:002:0000675П0, лит. Г5, адрес объекта: Ивановская область, г.Иваново, ул.Лежневская, пр.Строителей, ул. Кудряшова, пр.Текстильщиков, ул.Куконковых, ул.10-я Санаторная, ул.Василевского, ул. 7-я Санаторная, ул.Володарского, ул.Раздельная, ул. Велижская, ул. Поэта Майорова, ул. Ташкентская, ул.Жаворонкова, ул. 2-я Лагерная, ул. Демьяна Бедного, ул. Чапаева, ул. Маяковского, ул. 1-я Южная, пер.Меланжистов"". Техническое перевооружение объекта, код стройки 25209-20-3. Замена ЗА №311 по адресу: г.Иваново, ул. Куконковых, ГК №311",Газопроводы
00960436-6229-4772-bdc8-ac3bb5c18648,"Газораспределительные сети высокого и низкого давления в микрорайоне ""Бараба"" г. Красноуфимск",Газопроводы
00affd04-e362-4e64-9507-9a605f16f1e1,"Распределительные газопроводы низкого давления в с.Новоурупском по улицам: ул. Ленина, ул.Энгельса, ул. К.Маркса, ул.Лесная, ул.Маяковского, ул.Строителей, ул.Советская, ул.Фестивальная, ул.Октябрьская",Газопроводы
00cfc41b-581c-4020-8cd0-938b9147f607,Строительство сетей газораспределения с. Прохладное Бахчисарайского района,Газопроводы
00e57f20-b033-41e9-b642-2c6a53d588e2,"""Газификация жилого дома. Подключение внутридомового газового оборудования индивидуальных домовладений к сетям газораспределения (газопровод-ввод) и ВДГО. Ленинградская область, Выборгский р-н, п. Ганино, ул. Детская, д. 8""",Газопроводы
00e85fb7-5c6e-4281-a2fa-377d070d8ed3,"""Техническое перевооружение сети газоснабжения в Ульяновском районе Ульяновской области с. Ундоры, ул. Вишневая - ул. Красная. Газопровод низкого давления""",Газопроводы
00eecf9f-23af-42f1-880e-a4e1f65d35b3,Распределительный газопровод и газопроводы-вводы низкого давления до границ земельных участков для газификации жилых домов в д. Дубна Александровского района,Газопроводы
00f4b282-c23a-4b3a-8cc8-54c204a93bc3,"""Реконструкция системы газопотребления опасного производственного объекта, расположенного по адресу: Ростовская обл., Сальский р-н, п. Гигант, ул. Заводская, №6 (замена газовой колонки и УУРГ для 1 ветки)""",Газопроводы
010b5647-2286-47e5-90cc-077e60e52438,Строительство сети газораспределения с. Уютное Сакского района. 2 этап (II этап),Газопроводы
