Идентификатор,"Наименование и адрес (местоположение) объекта капитального строительства, применительно к которому подготовлена проектная документация",Расчетный тип объекта
00547b47-c134-49c7-91c0-1c6a1ce13e87,"Капитальный ремонт объекта: ""Артскважина кадастровый номер 61:27:0600015:293, глубина 120 м"", расположенной по адресу: Ростовская область, Обливский район, в 127 м на восток от п. Новополеевский",Горные выработки
00d65f59-3415-408f-8e06-4003ed3e6a0a,"Строительство водозаборной скважины, станции водоочистки и сетей водоснабжения в с. Заречье Пичаевского района Тамбовской области",Горные выработки
018ddd70-3835-4548-84b9-cb51b1743c2c,"Капитальный ремонт системы водоснабжения - артезианская скважина №4 обл. Ивановская, р-н Южский, г Южа, ул. Дачная",Горные выработки
01ddb180-360c-4b7f-84a0-31a9f4e91e9f,Строительство водозаборной скважины со станцией водоподготовки в с. Карасево Болотнинского района Новосибирской области,Горные выработки
02052d9e-9d12-44f1-9e9f-20efa7c2b897,"""Строительство водозаборной скважины в с. Богатое, ул. Школьная""",Горные выработки
03b7ad6d-b45b-4ac3-bfb5-2f849957eb4f,"Технический проект отработки запасов известняка на участке ""Чибуринский""  ООО ""Разрез ""Березовский"" (лицензии КЕМ 42048 ТР,  КЕМ 42452 ТЭ)",Горные выработки
03e6aca2-7b7f-4458-a71e-86ce841c5fec,"""Сутарское месторождение железистых кварцитов"". Строительство рудника"" I этап. Вскрытие месторождения",Горные выработки
03fe8138-50f0-4ba0-92a7-bccbc474512a,"""Строительство водозаборной скважины с установкой станции водоподготовки для водоснабжения города Куйбышева по адресу: Новосибирская область, Куйбышевский р-н, с. Нагорное, ул. Б.Хмельницкого. Этап 1. Строительство водозаборной скважины""",Горные выработки
040d435e-8943-4ec1-b56c-d48d52d12336,"""Строительство шахты ""Северная"" АО ""Ургалуголь"" в границах участков недр ""Северо-Западный Ургал"" и ""Поле шахты ""Ургальская"" с производственной мощностью 4000 тыс. т в год. Корректировка №1""",Горные выработки
04584262-2b6e-4f9b-9874-785ce30ac6b7,"Отработка запасов месторождения ""Бургали"" комбинированным способом. Изменение 1",Горные выработки
04b07816-13d7-4d6e-bff6-3b559b9b74a6,Разработка Удерейского золотосурьмяного месторождения открытым способом. Участок Северо-Западный и Центральный,Горные выработки
04e83077-b914-4645-a7dd-a52388331d61,"Капитальный ремонт водозаборной скважины № 30040/4, расположенной по адресу: Краснодарский край, Новокубанский район, Новокубанское городское поселение, 450 м. от перекрестка ул. Первомайская и ул. Фрунзе",Горные выработки
0617e82b-1444-49a6-a384-0eb3f4ab1a24,"Капитальный ремонт водозаборного сооружения (артезианская скважина №3), расположенного по у. Мира, 107-г в хуторе Адагум Крымского района",Горные выработки
067a3d53-162a-4cc5-8920-f0b40c37466c,"""Строительство водозаборной скважины № 35, расположенной по адресу: ЯНАО, г. Губкинский, панель 23, 4,5 км юго-западнее г. Губкинский, городской водозабор""",Горные выработки
06a1c23c-848f-404e-9451-3849d3be112c,"Строительство водозаборной скважины в г. Жердевка, Жердевского района, Тамбовской области в центральной части кадастрового квартала 68:03:2101020 в районе ул. Ломоносова",Горные выработки
073f8215-cb97-466c-9f0e-1fc3bcde2ee7,"Капитальный ремонт артезианской скважины № Д-73-94, ст. Сергиевская, Кореновский район, Краснодарский край",Горные выработки
075a6034-50bc-4d76-ae2f-c753e47be12b,"Капитальный ремонт артезианской скважины № 67-М, расположенной: Россия, Краснодарский край, г. Славянск-на-Кубани, п. Совхозный",Горные выработки
0814f82b-eacb-4db6-971c-b102d5f66d85,Строительство водозаборной скважины с установкой водоподготовки в п. Кумысный Коченевского района Новосибирской области,Горные выработки
08405f35-f05a-4fa6-a4a8-6ace5cf2ec9c,"""Строительство и эксплуатация карьера на ""Месторождении Звонкое"" (Восточный блок) ООО ""Берингпромуголь""",Горные выработки
084be9bb-b15c-4dc2-9cb7-22c4210851c3,"""Разработка месторождения Прогноз открытым способом""",Горные выработки
08915a82-13eb-46c5-8b50-19181e34b9d3,Строительство водозаборной скважины в с. Ильинка Алексеевского района Белгородской области,Горные выработки
08b4fa4b-7672-4e7d-a6d6-4664ee7909b3,Строительство водозаборной скважины в с.Борисполье,Горные выработки
09241a91-cd5e-403c-b580-bad6b6f0db9d,"Капитальный ремонт артезианской скважины № 3, расположенной по адресу: Краснодарский край, г. Тихорецк, ул. Гражданская, 114",Горные выработки
095ffc8c-0694-44ef-8698-328f94c21303,"Капитальный ремонт артезианской скважины № 65975 (2038), расположенной в селе Экономическом Крымского района",Горные выработки
098a506c-7a5b-4573-873d-4a45bcc819f1,"Строительство водозаборной скважины, водонапорной башни и сетей водоснабжения в х. Гремячий",Горные выработки
09f9e3f7-0a9d-416d-940b-fdb3b6d00853,«Строительство (бурение) скважины на территории с. Пятихатка Пятихатского сельского поселения Красногвардейского района<%>Республики Крым»,Горные выработки
0a2dc505-3ae9-4062-b89d-3bffc4b687f6,Капитальный ремонт артезианской скважины № 98 по ул. Коммунаров в с. Камышеваха Новокубанского района Краснодарского края,Горные выработки
0a3599db-7635-487f-bd9b-101242684fdc,"Строительство водозаборной скважины и модульной станции водоподготовки, регулирующий резервуар в с.Верх-Ирмень Ордынского района Новосибирской области",Горные выработки
0a8ce80f-2267-4dfe-b8de-bcc19ac4e6c7,"Капитальный ремонт артезианской скважины № 6374, расположенной: Краснодарский край, Гулькевичский р-н, с. Николенское",Горные выработки
0b1af6c4-af25-4d60-9b23-33ac8e87c82d,"ООО ""Башкирская медь"". Месторождение ""Юбилейное"". Подземный рудник. Корректировка проекта. Отработка VI залежи.",Горные выработки
0b24bdc3-c937-4367-bfab-f6fe0cb90a2c,"Строительство водозаборной скважины в г. Алексеевка, мкр. ""Северный"" Алексеевского городского округа, Белгородской области",Горные выработки
