Идентификатор,"Наименование и адрес (местоположение) объекта капитального строительства, применительно к которому подготовлена проектная документация",Расчетный тип объекта
001d578e-96c1-4ef6-a5de-6edbc3c0e823,"""Станция Шимановская Забайкальской железной дороги. Удлинение приемо-отправочных путей №№4, 5 и 6""",Железнодорожные пути
00215db2-2f58-4da1-9a0c-a4171ec527b2,"Участок Дубровка-Челябинская - Еманжелинск, 2 путь, 24 км пк 10 - 42 км пк 4 (РС)",Железнодорожные пути
00287edf-f4c5-4453-8228-719a52754dc8,"""Участок Горин - Пиль, 1 путь, 3714 км пк 5 - 3727 км пк 9 (КРН)""",Железнодорожные пути
002a925c-5ef5-4d1f-ba95-0084416dacf2,Лесопильный завод в Республике Коми Сыктывдинского района с. Часово . Железнодорожная инфраструктура с примыканием пути необщего пользования к путям общего пользования на железнодорожной станции Язель Северной ж. д. 1 этап,Железнодорожные пути
00350859-7f59-4174-b7b1-5c778f9564f8,"""Развитие железнодорожной инфраструктуры АО ""ГОК ""Инаглинский"". Строительство железнодорожной станции Инаглинская-2""",Железнодорожные пути
004da94a-bc40-46b1-8108-18255f9cf38c,"Участок Филимоново - Канск-Енисейский, 2 путь, 4327 км пк 9 - 4343 км пк 7 (КРН)",Железнодорожные пути
00525162-fb0e-488b-9567-d7344f986efa,"Участок Кача - Снежница, 2 путь, 4046 км 5 пк - 4062 км 9 пк (КРН)",Железнодорожные пути
00593fa4-4ac1-4258-9310-b995aa323cbc,Второй главный путь на перегоне разъезд 323 км -Людю Дальневосточной железной дороги,Железнодорожные пути
00627fdd-d405-4cf2-87ad-4bccbfb4964a,"""Железнодорожный путь необщего пользования АО ""Металлоторг""",Железнодорожные пути
00943851-065b-4384-8f9d-80f9793da252,"Строительство контейнерной площадки в районе ""Балтполя"" и внутрипортовых путей железнодорожного грузового фронта для перевалки грузов на терминале АО ""Петролеспорт""¶",Железнодорожные пути
00969fe3-6efb-411f-997e-287e6e19ccfc,"Участок Лумбушозеро - Малыга, 2 главный путь, 575 км ПК 1 - 586 км ПК 6 (КРН)",Железнодорожные пути
00aae597-4471-4c4d-9c5b-2deacfaee069,"""Развитие инфраструктуры железнодорожного транспорта необщего пользования на станции терминал АО ""Дальтрансуголь""",Железнодорожные пути
00bf6122-5fb3-4536-83af-31f13ce67a7f,"Капитальный ремонт пути на новых материалах перегон Разъезд 107 км-Айвазовская однопутный, 107 км пк9 - 112 км пк2, общее протяжение-4,306 км",Железнодорожные пути
00cd7eda-21b5-4519-88f7-5e908599a89b,Разъезд на перегоне Сонах - Эбгунь Дальневосточной железной дороги,Железнодорожные пути
