Идентификатор,"Наименование и адрес (местоположение) объекта капитального строительства, применительно к которому подготовлена проектная документация",Расчетный тип объекта
0000be00-b969-4adb-b3b4-5cf0d3b88c5e,"Завод Полимерной Изоляции» на земельном участке с кадастровым номером 50:29:0040253, расположенном по адресу: 140204, Россия,<%>Московская область, г.о. Воскресенск, ул. Промплощадка","Заводы, фабрики, индустриальные парки"
0045ea71-0295-422d-8f2d-1fbfc63a5372,"""Завод по производству композитных и полимерных материалов по адресу: Московская область, г. Дубна, ул. Приборостроителей, д.Зв, в 390м на юго-запад, ОЭЗ ТВТ ""Дубна"" территория НПЗ""","Заводы, фабрики, индустриальные парки"
008b6ded-dc2c-4af7-98ab-aa34e5aa53d3,"""Строительство производственного комплекса по выпуску кремниевых пластин и фотоэлектрических преобразователей, расположенного по адресу: Калининградская область, г. Черняховск, ул. Промышленная, индустриальный парк ""Черняховск"". 1-ый Этап","Заводы, фабрики, индустриальные парки"
010e9547-2680-4cfc-85f8-173e4d019052,"Строительство завода по сборке жидкокристаллических телевизоров по адресу: ""Воронежская обл., Новоусманский р-н, Индустриальный парк ""Масловский""","Заводы, фабрики, индустриальные парки"
018f4b8f-983b-4f6c-a604-ca7b41c3bef4,"Производственный комплекс по адресу: Московская область, городской округ Подольск, д. Матвеевское, на земельном участке с кадастровым номером 50:27:0030726:423","Заводы, фабрики, индустриальные парки"
01a4009b-23ee-4d04-b1e6-cc0bf67de12f,"Реконструкция производственной базы ""Таксимо"". Этап 1.","Заводы, фабрики, индустриальные парки"
01e64066-2ec6-42e7-9db1-92b619b746cd,"Завод по глубокой переработке зерна мощностью 250 000 тонн пшеницы в год, расположенный по адресу: Красноярский край, Шарыповский район, 3,4 км к северо-западу от г. Шарыпово","Заводы, фабрики, индустриальные парки"
02c7ef45-1c55-4d13-b57b-5a8d9ebc3269,Реконструкция производственной базы ХМРЭС,"Заводы, фабрики, индустриальные парки"
02e6761d-8dfe-44ea-b9a9-3fe0ba266c66,Завод по производству коллагенового белка,"Заводы, фабрики, индустриальные парки"
0325eef8-a3df-4bf1-b94e-735a39143db3,"Реконструкция ""Ремонтно-механические мастерские"" Производственная база СМП-1 г. Москва, городской округ Троицк, г. Троицк, ул. Физическая, вл. 31","Заводы, фабрики, индустриальные парки"
033b23a6-eee5-4a8c-add2-de0c2441f2d1,"""Производственный комплекс, расположенный по адресу: Московская область, Подольский район, с.п. Лаговское, д. Матвеевское""","Заводы, фабрики, индустриальные парки"
0379f467-01cb-4f87-8cac-a2a214aa0fdb,"Маслоэкстракционный завод с элеватором, расположенный по адресу: Нижегородская область, муниципальный район, городское поселение город Володарск, ул. Совхозная, земельный участок 16Б","Заводы, фабрики, индустриальные парки"
037d7c66-baa1-461c-b45a-4a9794041baa,"""Строительство и техническое перевооружение производственной базы для обеспечения серийного производства изделий остекления самолетов SSJ и МС-21 АО ""ОНПП ""Технология"" им. А.Г.Ромашина"", г. Обнинск, Калужской области""","Заводы, фабрики, индустриальные парки"
03b9e9f7-64b5-494c-93d0-aed3d94fdc67,Завод по производству полуприцепов для перевозки нефтепродуктов и других специальных жидкостей,"Заводы, фабрики, индустриальные парки"
03ca2efa-4da1-4d74-8764-5cd3332461be,Завод по производству полуприцепов для перевозки нефтепродуктов и других специальных жидкостей,"Заводы, фабрики, индустриальные парки"
03e4e15f-43b1-491d-bd32-9d306bd4017a,"Фабрика по переработке молока по адресу: Костромская область, г. Кострома, ул. Галичская, д.142","Заводы, фабрики, индустриальные парки"
