Идентификатор,"Наименование и адрес (местоположение) объекта капитального строительства, применительно к которому подготовлена проектная документация",Расчетный тип объекта
0000ea1e-7e01-4196-bf69-fccdeee66f23,"""Многоквартирный жилой дом со встроенными помещениями и подземной автостоянкой по ул. Попова в г. Белгороде (строительная позиция №7). Подземная автостоянка 1 этап строительства. Корректировка""",Здания
00014b43-a934-4631-bd60-aa1bfba18357,"Капитальный ремонт зданий детского оздоровительного лагеря ""Мечта"" государственного бюджетного учреждения ""Республиканский центр по организации оздоровления, отдыха и занятости детей и подростков ""Лето"", с приобретением мебели, оборудования и инвентаря",Здания
00017aad-7a89-40f2-9096-1a7cec4c5b04,"Выполнение работ по ремонту подъезда в многоквартирном доме по адресу: 141371, Московская область, Сергиево-Посадский г.о., г. Хотьково, ул. Академика Королева д.7/1, подъезд 9",Здания
00028e14-495c-42c1-9874-c15b3758e9b1,Капитальный ремонт многоквартирного дома,Здания
0002bf3c-96a9-489a-8e44-f1b464f776e2,"Автоматическая водогрейная котельная мощностью 2,0 МВт, расположенная по адресу: Московская область, Пушкинский район, с. Рахманово, ул. Промышленная, д.2",Здания
00040105-739f-48ee-91c6-56b3a15962a8,"Физкультурно-оздоровительный комплекс по ул.Гагарина, 32 ""а"" в г.Камышлове, Свердловской области",Здания
00045119-b460-40b6-8e3e-02bab0cb9f14,"Капитальный ремонт общего имущества в многоквартирном доме, расположенном по адресу: Сургутский район, г. Лянтор ул. Набережная д. 22",Здания
000458e5-921d-4179-8fea-97485df59b2b,Цех по плющению зерна кукурузы в с. Покровка Октябрьского района Приморского края,Здания
0004837a-c8dc-41c7-8114-fc4168ef6665,"Детский сад на 125 мест в с. Улаган, Улаганского района, Республики Алтай",Здания
0004a106-9e7d-4106-b17e-a338f71c16d5,"""Строительство школы на 1100 мест в 1-ом Юго-Восточном микрорайоне, в т.ч. ПИР""",Здания
0004b5ef-14c1-4c46-8196-4b109a9c5d6e,"Многоквартирный жилой дом, расположенный в г. Ижевске на земельном участке с кадастровым номером 18:26:050992:254",Здания
00054aa4-bb5d-4b94-8820-b69e85ab3108,Здание ГБОУ гимназия № 664 Красногвардейского района Санкт-Петербурга.,Здания
00057ae3-5278-4ad3-8f9b-b829daeb0111,Строительство культурно-спортивного центра в с. Погореловка Корочанского района Белгородской области,Здания
000610cb-3350-4cc0-affe-c3121415e66a,"""Комплекс многоэтажных жилых домов с нежилыми помещениями по адресу: г.Тюмень, улица Урайская"". Жилой дом ГП-3""",Здания
00062090-05f4-4ebb-b37e-adfd2ddbe346,"Приспособление для современного использования (устройство системы охранной сигнализации) объекта культурного наследия федерального значения ""Здание Ростовского Государственного драматического театра им. М. Горького"" по адресу: Ростовская область, г. Ростов-на-Дону, пл. Театральная, 1",Здания
00066444-e851-4920-8f2f-e6ce5793f00e,"""Блок обслуживания (корпус №98) - инв. №000050056 АО ""КБП"" им. академика А.Г. Шипунова по адресу: г. Тула, Щегловская засека, д. 59""",Здания
0006bfd3-af5b-4edc-97ed-5d8efc6f82f3,"Капитальный ремонт общего имущества в многоквартирном жилом доме, расположенном по адресу: ХМАО-Югра, г. Сургут, ул. Островского, д. 24",Здания
00072cb8-d24e-4a99-8e33-bc0849a44186,"Капитальный ремонт внутридомовых инженерных систем водоотведения по адресу: Пинегина ул., д.15 литера А",Здания
0007732b-6bb2-4ddf-90cb-e7294fb727a4,Капитальный ремонт системы газоснабжения многоквартирного дома,Здания
0007b4da-947a-4932-bd1d-47d273b0eb50,"Прокладка (переустройство) транзитных трубопроводов систем отопления, горячего водоснабжения и отопительной вентиляции в многоквартирных домах и на объектах бюджетной сферы города Москвы (корректировка)",Здания
0007c28d-fb37-436b-8eb9-c198b06e3942,"""Общеобразовательная школа на 1100 мест на улице Космической (в районе домов №24, 32) в микрорайоне Мончегорский города Нижнего Новгорода""",Здания
00086897-54fa-449c-8233-bae2ec60732a,"Многоквартирный жилой дом поз. 175 в квартале №13 в дер. Борисовичи Псковского района Псковской области, земельный участок КН60:18:0060601:3849",Здания
0008d365-dcc2-44b7-8c86-74763fe85bff,"Капитальный ремонт внутридомовых инженерных систем водоотведения по адресу: Савушкина ул., д.28 литера А",Здания
0008dcc0-0993-4a21-ab2f-2034cdb87bb0,"Капитальный ремонт крыши многоквартирного жилого дома по адресу: Кемеровская область-Кузбасс, г. Кемерово, б-р. Строителей, д. 26б",Здания
0009f153-e618-4dc2-8019-7b214e975ab6,"Капитальный ремонт крыши многоквартирного жилого дома, расположенного по адресу: Костромская область, Красносельский р-н, п.г.т. Красное-на-Волге, ул. Заводская, д. 10",Здания
000a9917-7139-4126-987b-569bb39e9bba,"Замена лифта без направляющих грузоподъемностью 400 кг с количеством остановок 9 в многоквартирном доме по адресу: г. Долгопрудный, ул. Железнякова, д. 14",Здания
000aafe5-bb83-4d69-8c57-ee03a589728f,"Комплексный ремонт отделения почтовой связи формата ""Сельское ОПС"" УФПС Республики Адыгея, расположенного по адресу: 385230, Адыгея респ., Теучежский р-н, аул Понежукай, Ленина ул., дом 73.",Здания
000c0db2-9dc3-463e-91b3-7143d21b5168,Капитальный ремонт здания МБОУ СШ No 70 г. Липецка,Здания
000c927c-0ca7-4d4a-8b5c-ab46d6c238fb,"Капитальный ремонт муниципальной квартиры по адресу: Ростовская область, г. Ростов-на-Дону, ул. Михаила Нагибина, д. 38, литер ""И"", кв. 149",Здания
000dab85-df75-4c63-a2ee-b4294ac95b8c,"Многоквартирный жилой дом по ул. Энергетиков, 13 в г. Южноуральск Челябинской области",Здания
000dd733-4191-4e68-8e71-983d88428f2f,"Многоквартирный дом и подземная автостоянка, трансформаторная подстанция, расположенные по адресу: Алтайский край, г. Барнаул, ул. Союза Республик, 11",Здания
000de67a-904d-4652-a9a0-6b8a18c00185,"Выполнение инженерных изысканий, подготовка проектной документации для ремонта объектов недвижимого имущества, а также проведение государственной экспертизы, указанной проектной документации и результатов указанных инженерных изысканий, ФБУ Крымской лаборатории судебной экспертизы Минюста России, находящихся по адресу г.Симферополь ул.Чехова 55А",Здания
000efb5e-8431-4b63-bc6c-ddbc38005b8f,"7 этап строительства. Административно-досуговый центр с подземной автостоянкой, по адресу: Самарская область, город Самара, Октябрьский район, Пятая просека",Здания
000fd953-7d95-4e46-a5ed-2f6600b4a18e,"Капитальный ремонт крыши многоквартирного дома, расположенного по адресу: Вологодская область, Вожегодский муниципальный округ, п. Вожега, ул. Октябрьская, д. 32",Здания
001004d3-76f8-4273-80b4-f8c5c97fef60,"Капитальный ремонт внутридомовых инженерных систем холодного водоснабжения по адресу: г. Пушкин, Церковная ул., д.19 литера Ж",Здания
001008f8-93ee-48a3-907b-e1cc43287798,"Складской комплекс по адресу: г. Пермь, Индустриальный район, ул. Верхне-Муллинская",Здания
00104fe7-cafa-4ad0-ad34-73487408ed0c,"Капитальный ремонт ГБУ РО ""ГП № 16"" в г. Ростове-на-Дону, расположенного по адресу: г. Ростов-на-Дону, пр. Космонавтов, 6/1 (внутренние помещения)",Здания
001085c7-71b3-4b60-a822-b81a2bf9015f,"""Капитальный ремонт МБОУ СОШ № 3"" по адресу: Московская область, г.Серпухов, ул. Дзержинского, д.2-а",Здания
0010a004-69bf-4e2d-a558-0c349d8d7fae,"Капитальный ремонт МКДОУ ""ЦЕНТР РАЗВИТИЯ РЕБЁНКА -ДЕТСКИЙ САД ""ТЮЛЬПАН""",Здания
00114da7-8173-41c6-88e1-6d8cc66b8dbf,"Малоэтажный многоквартирный жилой дом по адресу: Костромская область, город Кострома, улица Ленина, 148",Здания
