Идентификатор,"Наименование и адрес (местоположение) объекта капитального строительства, применительно к которому подготовлена проектная документация",Расчетный тип объекта
00220150-bc92-414f-91b4-e93bf3accb4b,"Линейный объект для строительства инженерной инфраструктуры квартала № 7 микрорайона восточнее озера ""Кустаревское"" в Демском районе городского округа город Уфа Республика Башкортостан",Инженерное обеспечение территорий
03b316f9-3dbd-4d22-8e2e-f9a1390bbd7e,"Линейный объект для строительства инженерной инфраструктуры квартала №4 микрорайона восточнее озера ""Кустаревское"" в Демском районе городского округа город Уфа Республика Башкортостан",Инженерное обеспечение территорий
048fb876-b409-490b-844f-5f2eec536b09,Инженерная подготовка территории участка для предотвращения подтопления и заболачивания,Инженерное обеспечение территорий
05259abc-3dbc-428f-97fc-d57346df90fc,"""Завершение работ в соответствии со Сводным планом инженерных сетей и благоустройству улиц в г. Цхинвал. ул. В. Икаева (водоснабжение, канализация, газовые распределительные сети, благоустройство)"". Корректировка №2",Инженерное обеспечение территорий
06190a29-63a4-4caf-86c1-f1d4b8c435ee,"""Инженерное обеспечение микрорайона №17 города Губкинский, в том числе затраты на проектно-изыскательские работы"" Этап 2, 3.",Инженерное обеспечение территорий
071849f4-4532-49b0-84c3-c3223d525625,"""Завершение работ в соответствии со Сводным планом инженерных сетей и благоустройству улиц в г. Цхинвал. ул. Корнисская, (водоснабжение, канализация, газовые распределительные сети, благоустройство). Корректировка №2""",Инженерное обеспечение территорий
07eddaf2-b7e3-4ec7-a13a-0f025f1b3d37,"Особая экономическая зона промышленно-производственного типа, созданная на территориях муниципальных образований Верхнесалдинский городской округ, Сысертский городской округ и ""город Екатеринбург"" Свердловской области. Инженерная и транспортная инфраструктура. 1-7 этапы"" (Этапы 1, 2)",Инженерное обеспечение территорий
08dbf39b-6d58-4c15-99f8-8d9d8488bb9c,"""Объекты инженерной и транспортной инфраструктуры особой экономической зоны промышленно-производственного типа, созданной на территории городского округа Тольятти Самарской области, 3 очередь строительства"" III этап.",Инженерное обеспечение территорий
0bb6aa04-7754-4eac-9474-b59beca48a99,"Инженерные сети для микрорайона ""СуперВосток"" в г. Томске.",Инженерное обеспечение территорий
0d3bc25d-68e7-4f7e-8cce-53e790f10496,"г. Мирный. Внеплощадочные инженерные сети ТВК г. Мирный-Аэропорт ""Мирный""",Инженерное обеспечение территорий
