Идентификатор,"Наименование и адрес (местоположение) объекта капитального строительства, применительно к которому подготовлена проектная документация",Расчетный тип объекта
0089f195-d94d-4666-9c76-c4a5a1c44fbd,"""Создание троллейбусной инфраструктуры в г. Челябинске"". Этап 2.4 ""Модернизация существующих тяговых подстанций""",Инфраструктура наземного электротранспорта
00d070e5-7820-4dfb-880c-653d48582d0b,"""Создание троллейбусной инфраструктуры в г. Челябинске"" Этап 1.2 ""Реконструкция Депо №1. Строительство нового участка контактной сети от пр. Ленина до Депо №1. Строительство новой тяговой подстанции"".",Инфраструктура наземного электротранспорта
01408638-9931-41fa-82fb-9e0128db4324,Капитальный ремонт трамвайных путей по ул. Труда от Свердловского проспекта до ул. Красная,Инфраструктура наземного электротранспорта
01bc8e5e-2d4b-4473-89ab-80a2e4b388e0,"""Создание троллейбусной инфраструктуры в г. Челябинске"". Этап 1.1.1 Модернизация существующей контактной сети (маршрут №12, №19).",Инфраструктура наземного электротранспорта
01bf548c-0183-41ec-88d7-7e8057cde8a2,Капитальный ремонт трамвайных путей по проспекту Победы на участке от ул. Кирова до ул. Болейко,Инфраструктура наземного электротранспорта
01db3578-21ca-418a-90a4-f6152078999c,"Капитальный ремонт трамвайного пути. Участок № 2 по ул. Краснознаменная. (в районе перекрестка с ул. Малишевского), 83 метра г. Орск, Оренбургская область",Инфраструктура наземного электротранспорта
035335b6-b8a8-4efb-b8db-c2fd2fd200b8,"""Создание троллейбусной инфраструктуры в г. Челябинске"". Этап 1.1.1. Модернизация существующей контактной сети (маршрут № 12, № 19).",Инфраструктура наземного электротранспорта
048303cf-bbeb-4591-a2bf-54363e19fe38,Перепрофилирование троллейбусного парка в трамвайное депо,Инфраструктура наземного электротранспорта
05efff93-dd2b-49c3-abfe-acfb770dfae2,"Капитальный ремонт контактной сети трамвайной линии участка ""Остановка Автоматика - остановка КХП"" на территории, расположенной по адресу: Оренбургская область, г. Новотроицк от ул. Восточная Поляна, 14 до ул. Заводская, 20А",Инфраструктура наземного электротранспорта
07d5c743-1e18-490b-9f2b-b60f51290ef3,Капитальный ремонт трамвайных путей по ул. Новороссийской на участке от пер. Петропавловский до ул. Днепровской,Инфраструктура наземного электротранспорта
