Идентификатор,"Наименование и адрес (местоположение) объекта капитального строительства, применительно к которому подготовлена проектная документация",Расчетный тип объекта
0007f2f4-1833-4811-82cd-e3b2d60f4196,"Реконструкция сетей электроснабжения СНТ ""Татарстан"", РТ, Лаишевский р-н, н.п.Усады",Линии электропередачи и подстанции
00186836-214b-4043-a6d4-7bb44a88f630,Кабельно-воздушная линия 220 кВ.,Линии электропередачи и подстанции
0025a4b2-85d7-4888-a092-e89009ce9b18,Реконструкция ВЛ 220 (500) кВ Уренгойская ГРЭС-Тарко-Сале и ВЛ 220 кВ Тарко-Сале-Губкинский ГПЗ (1),Линии электропередачи и подстанции
003eae4f-f394-443e-8cd5-c48abc776859,"Строительство ЛЭП-0,4кВ, для электроснабжения объекта, расположенного по адресу: Красноярский край, ЗАТО Железногорск, тер. СНТ №28, ул.№3, д.1Б",Линии электропередачи и подстанции
0041bac0-a298-42b3-8ce1-4e2a67d397e3,"""Строительство ВЛ 220 кВ Шушенская-опорная - Туран ориентировочной протяженностью 230 км, реконструкция ВЛ 220 кВ Ергаки - Туран и ВЛ 220 кВ Туран - Кызылская (Д-47) с образованием ВЛ 220 кВ Ергаки - Кызылская (спрямление участка ВЛ 220 кВ ориентировочной протяженностью 2 км), реконструкция ПС 220 кВ Туран (сооружение ОРУ 220 кВ на новой площадке, установка двух трансформаторов 220/35/10 кВ мощностью 25 МВА каждый, установка ШР (УШР) 220 кВ мощностью 40 Мвар и БСК 220 кВ мощностью 110 Мвар), реконструкция ПС 220 кВ Шушенская-опорная (расширение ОРУ 220 кВ на одну линейную ячейку) (для технологического присоединения энергопринимающих устройств ООО ""Голевская ГРК"" и объектов электросетевого хозяйства АО ""Тываэнерго"")"". 2 этап. Реконструкция ВЛ 220 кВ Ергаки - Туран и ВЛ 220 кВ Туран - Кызылская (Д-47) с образованием ВЛ 220 кВ Ергаки - Кызылская.",Линии электропередачи и подстанции
00816547-ae38-49e2-a419-f5fbff21773e,"КТП-6/0,4 кВ №2. Кабельные сети 0,4 кВ от КТП-6/0,4 кВ №2 производственной площадки по адресу: Российская Федерация Владимирская область, Ковровский р-н, МО Клязьминское сельское поселение, территория Ковровские котлы, строение 1. Корректировка.",Линии электропередачи и подстанции
00936983-5ee3-4352-a1d0-5ac3d0ffef7f,Распределительный пункт 10 кВ РП 1.1,Линии электропередачи и подстанции
00ac23f4-5719-4b5b-9378-5ae80c6a2dc4,"""Модернизация системы телемеханики ПС 110 кВ Северо-Хохряковская""",Линии электропередачи и подстанции
00af8bd4-fe59-43be-a881-b724b411fb68,Реконструкция ВЛ 330 кВ ГЭС-2 - Машук,Линии электропередачи и подстанции
00c93634-c73f-44b2-a7cd-4c7ea74c5864,"""Строительство ПС 110/10 кВ ""Одом"" с ЛЭП 110 кВ"". ПС 110/10 кВ ""Одом"".",Линии электропередачи и подстанции
00c965eb-9a0e-4309-93e1-42f948f3cd20,"Реконструкция объекта ""Внутри площадочное электроснабжение Лит.Л.1Л.2"" инв. № 0000 1111, кадастровый номер 16:27:040401"" с организацией резервного независимого ввода питания на ПС 110/10 кВ ""Менделеевская""",Линии электропередачи и подстанции
00e665f3-cc2d-4586-811f-9a54b92c26bf,"Реконструкция сетей 0,4-10кВ филиала МКС для повышения надежности и качества электроснабжения для нужд МКС - филиала ПАО ""Россети Московский регион"" Этап 11. Реконструкция ЭУ-4",Линии электропередачи и подстанции
0115448b-e43b-40ac-b5fa-0ab910629a37,"""Строительство двух КЛ-6 кВ от существующих КЛ-6 кВ РП ""Фидерная-2"" - КТП-22 и строительство двух КТП 6/0,4 кВ 2х1000 кВА для электроснабжения объекта ""Промышленного комплекса по производству строительных материалов на территории г. Заречный Пензенской области"" на земельный участках 1Г, В кН 58:34:0010134:441, 58:34:0010134:442""",Линии электропередачи и подстанции
011f1db6-5c9c-4c37-a4ed-05c4f1afe6ca,Электроснабжение Баимского ГОК. ПС 330 кВ Порт,Линии электропередачи и подстанции
013ea85e-ce1f-4e07-82b8-816b8276c8d7,"""Реконструкция и техническое перевооружение ПС 500 кВ Тихорецкая"". III этап. Корректировка""",Линии электропередачи и подстанции
017a4102-39f9-4162-940d-22b41ab28506,"Строительство инженерных сетей (Электроснабжение) комплексная застройка микрорайона ""Молодёжный"" в г. Элиста, Республики Калмыкия",Линии электропередачи и подстанции
01923174-0df9-41e4-85d5-34c2e6dc6473,"""Реконструкция ПС 330 кВ Севастополь в части строительства двух линейных ячеек на ОРУ-35 кВ для присоединения двух ЛЭП 35 кВ Севастополь - Госпиталь (ТП ФГУП ""102 Предприятие электрических сетей"" МО РФ)""",Линии электропередачи и подстанции
01983a5a-a863-466b-a79b-734f4166b765,"Реконструкция ВЛ-10кВ Фидер №4 ""Кадинский ВЛ-0,4кВ р.п. Куйтун""",Линии электропередачи и подстанции
01a22587-00c2-43ee-b665-c3c5ffeeff7b,"""ПС 110/10 кВ с питанием по ЛЭП 110 кВ от ПС 220 кВ РПП-1 для нужд ООО ""Череповецкий Тепличный Комплекс ""Новый"" в Вологодской области""",Линии электропередачи и подстанции
01a2fb63-4e5d-4206-8f47-6ba6d7db96ce,"Реконструкция КЛ-10 кВ направлением ПС-575 ""Селятино"" ф.45 - РП-12, ГНБ, в т.ч. ПИР, МО, г. Наро-Фоминск, п. Селятино (1,8 км)",Линии электропередачи и подстанции
01b02fb6-1bb1-4c1f-a0c1-992dcfb4522a,ПС 35 кВ Южная,Линии электропередачи и подстанции
01ec7803-6416-413b-8163-79700b7c9260,"Строительство ЗИФ-5 по переработке руды месторождения ""Благодатное"" производительностью 8,3 млн т/год. Подстанция 110 кВ и другие объекты э/снабжения. Этап №2 - Реконструкция участка существующих ВЛ: - ВЛ 110 кВ ""ПС ""Тайга"" - ПС ""Благодатнинская"""" I цепь - ВЛ 110 кВ ""ПС ""Тайга"" - ПС ""Благодатнинская"""" II цепь.",Линии электропередачи и подстанции
01f9efdb-8db6-434a-b09a-7d9c879600b6,"Реконструкция ПС 35/6 кВ Ипподром с переводом на напряжение 110 кВ, с ретрофитом линейных ячеек 6 кВ № 15 № 19, в количестве 2 шт. (МУПВ ВПЭС) (МиРЭК)",Линии электропередачи и подстанции
020b41db-e84c-4e6c-ae2c-2792aba730b3,"""Реконструкция ВЛ 220 кВ Лопча - Юктали со строительством заходов на ПП 220 кВ Антрацит ориентировочной протяженностью 2х2,5 км, с образованием ВЛ 220 кВ Лопча - Антрацит и ВЛ 220 кВ Антрацит - Юктали, строительство ПП 220 кВ Антрацит (для ТП энергопринимающих устройств ООО ""АнтрацитИнвестПроект"")"". 2 этап. Реконструкция ПС 220 кВ Хани",Линии электропередачи и подстанции
0210e08d-ada3-4edf-b09d-ec09fe6c0a51,Строительство КРУЭ 220 кВ ПГУ Каширской ГРЭС,Линии электропередачи и подстанции
