Идентификатор,"Наименование и адрес (местоположение) объекта капитального строительства, применительно к которому подготовлена проектная документация",Расчетный тип объекта
003d5691-ef96-4ce5-bbe4-7a11b5550347,"Замена магистрального трубопровода. Кольцевая линия ветка в депо ""Белорусская"" № 311100001172",Метрополитены
015b7c6e-5784-4865-9969-bd3797fbf546,"""Электродепо ""Нижегородское"" (реконструкция) Этап 3: ""Реконструкция электродепо для обеспечения 30 мест ночного отстоя"". Корректировка""",Метрополитены
02052c70-74c8-4fe5-ae71-f3bf34165331,"Люблинско-Дмитровская линия метрополитена от станции метро ""Селигерская"" до станции метро ""Лианозово"". Этап ""Благоустройство"". Этап 4: ""Благоустройство стройплощадки № 36: ст. ""Лианозово""",Метрополитены
025daf56-96d3-492f-8785-5c3e471ce54b,"Реконструкция 6 электродепо с установкой 6 колесотокарных станков с автоматизированным комплексом для диагностики колёсных пар на ходу в составе с единой централизованной системой учета параметров и прогнозирования ремонта колесных пар. Электродепо ""Замоскворецкое""",Метрополитены
02f7e382-6be4-4ecf-a943-7b3c8c39ba0e,"Южный участок Третьего пересадочного контура (ТПК) ст. ""Каховская"" - ст. ""Проспект Вернадского"". 4 этап: ""Реконструкция участка - станция метро ""Каширская"" - станция метро ""Каховская"". Этап 4.4: ""Дополнительная пересадка между станцией ""Каховская"" Каховской линии и станцией ""Севастопольская"" Серпуховско-Тимирязевской линии""",Метрополитены
031d9d6d-d381-47ef-b940-698f353af5f3,"Замена магистрального трубопровода. Серпуховско-Тимирязевская линия перегон ""Цветной бульвар"" - ""Чеховская"" II путь №311100001298",Метрополитены
0342124d-faaf-48b7-a42d-36a098233103,Капитальный ремонт вентиляционных киосков Московского метрополитена - ВШ-731 (корректировка),Метрополитены
03f4031a-c700-4923-a2cb-0889eca0caf3,"Рублево-Архангельская линия метрополитена, станция метро ""Шелепиха"" - станция метро ""Липовая Роща"". 2.3 этап. Подготовительные работы для организации строительства щитовой проходки перегонных тоннелей на участке линии от ст. ""Бульвар Карбышева"" до ст. ""Живописная""",Метрополитены
0403b2d3-7bb2-4887-80cf-d65eb086832a,"Замена магистрального трубопровода. Кольцевая линия, перегон ""Октябрьская"" - ""Добрынинская"" I путь № 311100001186",Метрополитены
040597f4-ddff-4d4a-9788-804478032039,"Замена магистрального трубопровода Замоскворецкая линия перегон ""Павелецкая"" - ""Новокузнецкая"" II путь №311100001042",Метрополитены
0498cf8e-b182-4730-a594-61bd4af81a0a,Капитальный ремонт вентиляционных киосков Московского метрополитена - ВШ-924 (корректировка),Метрополитены
04b0a0a6-0465-4696-8c02-137143cb3be3,"Южный участок Третьего пересадочного контура (ТПК) ст. ""Каховская"" - ст. ""Проспект Вернадского"". 4 этап: ""Реконструкция участка - станция метро ""Каширская"" - станция метро ""Каховская"". Корректировка"". Этап 4.1.1: ""Стартовый котлован для щитовой проходки ветки в электродепо ""Замоскворецкое""",Метрополитены
051e46f8-b0cf-48f1-a84b-76d3e705c554,"Замена магистрального трубопровода. Таганско-Краснопресненская линия перегон ""Планерная"" - ""Сходненская"" II путь №311100001368",Метрополитены
05958253-0b58-4454-a5c8-9c8ea3bfd6c9,"""Арбатско-Покровская линия метрополитена, станция метро ""Щелковская"" - станция метро ""Гольяново"". Этап ""Подготовка территории"". Этап 3: ""Подготовка территории. Теплосеть""",Метрополитены
05ad3811-0ef2-4db5-95f2-ed685a93d062,"Замена магистрального трубопровода. Калужско-Рижская линия перегон ""Медведково"" - ""Бабушкинская"" I путь №311100001999",Метрополитены
05b6e91e-2b1f-4639-ae41-cdb30ea41e08,"Восточный участок Третьего пересадочного контура (ТПК) ст. ""Каширская"" - ст. ""Карачарово"". Этап: ""Подготовка территории"". Ст. ""Текстильщики"". Строительная площадка № 7.2, 7.4, 7.5: Этап 8.2.9: Переустройство инженерных коммуникаций. Корректировка",Метрополитены
05f08f72-9c7d-4d1f-83aa-2b25d202d660,"Реконструкция (снос и восстановление) сетей связи ПАО МГТС по объекту: ""Рублево-Архангельская линия метрополитена ст. метро ""Шелепиха"" - ст. метро ""Липовая роща"". Подготовка территории. Этап 1.2. Станция ""Звенигородская"" (""Пресня""). Строительная площадка №1""",Метрополитены
0603957a-3f1d-4aba-9478-e288c5914dbb,"Замена магистрального трубопровода. Серпуховско-Тимирязевская линия перегон ""Боровицкая"" - ""Полянка"" II путь №311100001391",Метрополитены
0618c626-e47f-49bc-a11b-99a13e44a7bd,"Замена магистрального трубопровода. Таганско-Краснопресненская линия станция ""Кузьминки"" кабельный коллектор №311100001202",Метрополитены
0629de37-6990-4068-9d77-e63f6b8e2860,"Замена магистрального трубопровода. Сокольническая линия перегон ""Комсомольская"" - ""Красносельская"" I путь № 311100001016",Метрополитены
06cce95b-ede7-4aaf-997b-617996ae4dd0,"Юго-Западный участок третьего пересадочного контура, станция метро ""Проспект Вернадского"" - станция метро ""Можайская"". 7.3 этап: ""Соединительные ветки в электродепо ""Аминьевское"" со ст. ""Давыдково"". Корректировка",Метрополитены
