Идентификатор,"Наименование и адрес (местоположение) объекта капитального строительства, применительно к которому подготовлена проектная документация",Расчетный тип объекта
00516cce-b2e8-485c-93a9-c73398f072c8,Многоуровневые транспортные развязки на пересечении Северо-Восточной хорды с 5-м проездом Подбельского и Открытым шоссе. Этап 1. Корректировка,"Мосты, тоннели"
006409fd-ea95-42f9-aeae-90bf64ea189f,"Строительство многоуровневой транспортной развязки и мостовых сооружений на территории Мневниковской поймы с примыканием к Северо-Западной хорде с необходимыми для их функционирования подъездными дорогами, с переустройством инженерных сетей и коммуникаций (1 этап). Строительство мостового сооружения через р.Москва в створе улицы Мясищева. Корректировка","Мосты, тоннели"
00cae1ae-cf35-4148-a148-2e6cc7d046dd,"""Капитальный ремонт моста через реку Держа на км 187+085 автомобильной дороги М-9 ""Балтия"" Москва - Волоколамск - граница с Латвийской Республикой, Тверская область""","Мосты, тоннели"
00d4f8ee-3a1d-4ca2-b349-f78b1fc0e5aa,Реконструкция моста через р. Средняя Сейба на км 220+005 автомобильной дороги Саяны в Курагинском районе Красноярского края,"Мосты, тоннели"
014e8f5d-169e-4ae7-949f-9b04b83cfaeb,"""Оснащение категорированных объектов транспортной инфраструктуры техническими средствами обеспечения транспортной безопасности на автомобильной дороге А-331 ""Вилюй"" Тулун - Братск - Усть-Кут - Мирный - Якутск, объект: Мост через р. Тюкян на км 702+600 автомобильной дороги А-331 ""Вилюй"" Тулун - Братск - Усть-Кут - Мирный - Якутск""","Мосты, тоннели"
014fd022-a331-4d1c-befc-471ef5d1d692,"""О создании и эксплуатации объектов транспортной инфраструктуры и технологически связанных с ними транспортных средств, обеспечивающих деятельность, связанную с перевозками пассажиров транспортом общего пользования, в муниципальном образовании городской округ город Ярославль в Ярославской области"" 9 этап: ""Реконструкция путепровода № 1 через Республиканский проезд и ж.-д. пути"".","Мосты, тоннели"
015e2874-eb5a-4c0b-97ef-4b23926eb66f,Создание систем безопасности пешеходных переходов согласно адресного списка. Тоннель пешеходный Гостиница Советская,"Мосты, тоннели"
016d4704-4cac-4a9c-9ac2-3555a45f3d36,"""Ремонт моста через р. Кутулук на км 12+605 автомобильной дороги общего пользования межмуниципального значения в Самарской области Кротовка - Пустовалово - Кутулук, расположенной в муниципальном районе Кинель-Черкасский""","Мосты, тоннели"
018865ba-2bb8-4cf6-b25b-757d7859f481,"""Реконструкция путепровода км 10+871 на автомобильной дороге 76 ОП РЗ 76К-007 Нерчинск-Шоноктуй""","Мосты, тоннели"
0193322e-cfbe-40f6-b4ac-cbdbac4e7eda,"""Капитальный ремонт моста через р. Озерна (водохранилище) на км 472+870 автомобильной дороги А-108 ""Московское большое кольцо"" Дмитров - Сергиев Посад - Орехово-Зуево - Воскресенск - Михнево - Балабаново - Руза - Клин - Дмитров, Московская область""","Мосты, тоннели"
