Идентификатор,"Наименование и адрес (местоположение) объекта капитального строительства, применительно к которому подготовлена проектная документация",Расчетный тип объекта
0062e15c-3947-451b-9b58-fd1ffd5e8fe1,"Устройство искусственного освещения на автомобильной дороге ""г. Тамбов - г. Пенза"" - р.п. Колышлей - г. Сердобск - р.п. Беково км 132+150 - км 133+300 Бековского района Пензенской области",Наружное освещение
0065f648-bc20-4ff9-a733-1036d000b433,Линия наружного освещения вдоль ул. Окружная от ул. Коммунальная до Федеральной трассы М-8 в г. Северодвинске,Наружное освещение
00d9f32c-cb0e-47e6-93b0-5c81ebaf5b8d,Устройство искусственного освещения на автомобильных дорогах Актаныш - Муслюмово в с.Чуракаево км 39+250 - км 40+750 и Чуракаево - Бакалы - граница с Республикой Башкортостан км 0+000 - км 0+050 в Актанышском муниципальном районе Республики Татарстан,Наружное освещение
00e82d97-4857-4418-b098-040d545a7479,Строительство сетей наружного освещения вдоль автомобильной дороги Бессоновка-Солохи-Стригуны в Белгородском и Борисовском районах Белгородской области,Наружное освещение
013d7a0d-8a9c-4d28-969b-2240dff94dd4,Устройство искусственного электроосвещения по улице Набережная в населенном пункте Городище на автомобильной дороге Перекаль - Городище - Недостоево с подъездом к школе и по улице на участке км 0+000 - 0+750 в Рыбновском районе Рязанской области,Наружное освещение
0143a043-5c01-464b-ba9c-457eb794ce57,"Реконструкция автомобильной дороги Быстрянка - Красногорское, км 26+768 - км 28+563, с. Красногорское в Красногорском районе (устройство электроосвещения)",Наружное освещение
016a8289-30fd-4f59-8756-1d752c69ba8d,Устройство искусственного освещения в с. Эдемское и п. Дружба на автомобильной дороге Северный обход г. Камешково в Камешковском районе Владимирской области,Наружное освещение
017759f5-334b-46a9-a4ac-8d83c35806e2,Строительство сетей наружного освещения в микрорайоне Чапаева 2,Наружное освещение
01bd14cf-fe67-4b3a-9653-76ff0c4b2733,"Строительство линий искусственного электроосвещения на автомобильной дороге общего пользования регионального значения Нарышкино - Сосково (0+012 по 0+082 с 0+104 по 15+370)(с 15+370 по 37+196) в Урицком и Сосковском районах Орловской области (н.п. Лески, н.п. Прилепы, н.п. Сосково)",Наружное освещение
01c34ab3-fe5c-4617-bc2c-fd8ad6a2b1ed,"Капитальный ремонт в части устройства недостающего электроосвещения на автомобильной дороге ""Венев - Серебряные Пруды"" - Прудищи (н.п. Прудищи) в Веневском районе Тульской области",Наружное освещение
01d77c61-1d83-4789-9d0a-fe9bb2b3c70e,"1-й этап - Дорога с инженерными сетями (дождевая канализация, уличное освещение) от разворотной площадки общественного транспорта по ул. Юлиана Семенова до земельного участка по адресу: г. Москва, район Солнцево, ул. Родниковая, влд.5А (Западный административный округ)",Наружное освещение
02036c96-5f17-44a9-9331-1462d96d37ec,Наружное освещение.,Наружное освещение
0225e147-ffe2-4303-a396-9337bbee56a1,Устройство искусственного освещения на автомобильных дорогах Кузайкино - Нурлат км 0+000 - км 0+250 и Подъезд к с.Кузайкино км 0+000 - км 0+150 в Альметьевском муниципальном районе Республики Татарстан,Наружное освещение
023f5862-f273-4ddb-9079-a00bd5f57429,Устройство искусственного освещения на автомобильной дороге Большой Кульбаш - Бишня км 4+400 - км 5+240 в с.Бишня в Зеленодольском муниципальном районе Республики Татарстан,Наружное освещение
0240d272-7c25-412b-a4d7-3406167f85b5,"Капитальный ремонт автомобильной дороги Габукай-Шевченко на км 4+740 - км 4+995, в границах МО ""Теучежский район"" Республики Адыгея. Устройство недостающего электроосвещения.",Наружное освещение
02591ccc-779e-4422-a19c-d16d33f293ae,"""Строительство линии наружного освещения по ул. Окружная дорога от просп. Космический до ул. Барабинская""",Наружное освещение
0261816b-9db7-40c9-8a3e-3899f1203fe8,Устройство искусственного освещения на автомобильной дороге Биктово - Кудашево км 1+350 - км 2+500 в с.Биктово в Агрызском муниципальном районе Республики Татарстан,Наружное освещение
026400e2-5900-4737-b7b4-fb6b2942a6e9,"""Капитальный ремонт в части устройства недостающего электроосвещения на автомобильной дороге Малахово - Заокский - музей Поленово (н.п. Тяпкино) в Заокском районе Тульской области""",Наружное освещение
