Идентификатор,"Наименование и адрес (местоположение) объекта капитального строительства, применительно к которому подготовлена проектная документация",Расчетный тип объекта
00b6285d-e170-48f9-b87d-5f24e12bfd4f,Трубопроводы Потанай-Картопьинского месторождения,Нефтепроводы
00e45856-0771-43cf-90d7-930bda9bf558,"МНПП ""Новки-Рязань"". Участок 0-235 км. Замена линейных задвижек. Реконструкция",Нефтепроводы
027f16ab-0c0e-4895-b968-a0ae38719e4c,"""МНПП ""Ярославль - Приморск 2"", DN700, 228-231 км, МВ р.Ратыня. ЯРНУ. Реконструкция""",Нефтепроводы
037db3ca-92ee-4bd3-ab39-57f58f29fcbe,"""Строительство и реконструкция трубопроводов Шагиртско-Гожанского месторождения (2024г.) Этап 2. Реконструкция""",Нефтепроводы
03ae4d9a-1d74-4ed6-9d6b-f1d515b2d0b1,"Магистральный нефтепродуктопровод ""Омск-Сокур"". Замена трубы на участке ""Барабинск-Чулым"" 430,2-462,1 км. Новосибирское РНУ. Реконструкция",Нефтепроводы
03c60781-0d13-480d-83bc-7c6caff0c8c2,Строительство и реконструкция трубопроводов Кыртаельского нефтяного месторождения (4 очередь),Нефтепроводы
0414939a-4047-4b83-98d9-b808ff636313,Строительство и реконструкция трубопроводов Пашнинского нефтяного месторождения (11 очередь),Нефтепроводы
04396a5f-c075-4a24-9600-8b3ae4d9f2b3,"Магистральный нефтепровод ""Александровское - Анжеро-Судженск"" 260-790. Замена трубы на участке 570 км - 573 км (основная нитка). Томское РНУ. Реконструкция",Нефтепроводы
04cccf57-4a96-48a1-88e8-e85b8cf6cf98,"МНПП ""Ярославль - Приморск 2"". Замена трубы на участке 465,1-470,2 км, DN700. ЯРНУ. Реконструкция",Нефтепроводы
04eda9f1-d6d0-42b6-881a-4c01346d05ad,"МН ""Ярославль-Москва"". Повышение надежности электроснабжения ПКУ 7 на 130 км. МН ""Ярославль-Москва"" 130 км ЛЗ №8. Строительство",Нефтепроводы
05a17037-ddaa-46f3-9709-f313bf680b6c,"Магистральный нефтепровод Красноармейск-Саратовский НПЗ, участок 15км - 15,792км, 35,537км - 43,959 км Ду-530. Саратовское РНУ. Реконструкция",Нефтепроводы
05d483c9-a808-4782-b500-6c99fcc7aa96,"МН Сургут - Полоцк, участок Килемары - Н.Новгород. 2007,6км - 2009,3км. Реконструкция",Нефтепроводы
05d8208a-d1c0-4574-b492-f4f4b90d0449,"""Трубопроводы Мансингьянского месторождения"". Реконструкция.",Нефтепроводы
