Идентификатор,"Наименование и адрес (местоположение) объекта капитального строительства, применительно к которому подготовлена проектная документация",Расчетный тип объекта
001be713-124d-4bd2-acf2-cd54882d3196,"Капитальный ремонт водопропускной трубы на автомобильной дороге общего пользования регионального или межмуниципального значения, относящихся к собственности Калининградской области. Жилино - Большаково - Гастеллово - Тимирязево км 8+433",Сооружения
00227434-e333-4a99-9e97-71e738b790b2,"""Комплекс по приему, очистке и сушке зерновых культур"" для ООО ""Михайловское"" по адресу: Волгоградская область, Нехаевский район, хутор Успенка",Сооружения
0024eb15-ec49-4077-b812-45416400959b,Расчистка участка русла реки Инсар на территории г.о. Саранск Республики Мордовия (участок реки набережной стадиона Мордовия Арена),Сооружения
0030698a-e9ab-41e5-8288-b3ed83abf313,"""Строительство берегоукрепления на реке Фортанга в с. Ачхой-Мартан""",Сооружения
004d8dab-609c-4d3c-8c12-e147ffae4c3f,"Комплексная жилая застройка с объектами инфраструктуры расположенная по адресу: Московская область, Солнечногорский городской округ, деревня Юрлово. Локальные очистные сооружения поверхностного стока",Сооружения
00545fc1-82a9-4b9b-9bf2-464573ecf3e7,"""Реконструкция водозаборных сооружений Ржев-1 и Ржев-2, включая систему подготовки питьевой воды в г. Ржев""",Сооружения
005511d5-accc-41fc-a61f-b1eaf9067068,Капитальный ремонт ГТС Бакалинского водохранилища МР Бакалинский район Республики Башкортостан,Сооружения
006ec10e-0dbf-4873-a3e3-0ee8924ca19a,Очистные сооружения канализации,Сооружения
007e9047-7b0a-43db-bd36-09e59d802d57,"""Устройство защитной дамбы на р.Енисей в западной части г.Кызыла""",Сооружения
0090a57b-bc73-426d-9934-b84fada5840b,Очистные сооружения в г.Оса Осинского городского округа Пермского края,Сооружения
0092a41d-2c80-421b-8133-68ce438d9073,"Реконструкция пассажирских платформ (25платформ) Пассажирская платформа на ст. Бахчисарай по адресу: Республика Крым, Бахчисарайский р-н, г. Бахчисарай, ул. Ракитского, 20",Сооружения
00951896-ed02-4195-8488-34286122f878,"Очистные сооружения СОГБУ ""СОЦ ""Голоевка""",Сооружения
00976256-0035-493b-bcb2-fafe8c96af0a,"""Выполнение реконструкции по очистным сооружениям производительностью 50 м3/сут д. Дешовки, Козельского района, Калужской области""",Сооружения
00aeefdd-50f9-420c-8804-1685ec24e8f0,"Ремонт подпорной стены для КГБУЗ ""КМКБ № 20 им. И.С. Берзона""",Сооружения
00cf2248-fc21-4378-8369-b2371422dbab,"Реконструкция очистных сооружений города Норильска, расположенных по адресу: Красноярский край, район города Норильска, ул. Вокзальная, 9А",Сооружения
00f16eb3-2b6a-4da6-b62c-3acd83f2ded3,"""Защита г. Улан-Удэ от затопления паводковыми водами рек Селенга и Уда Республики Бурятия. Этап 1. Реконструкция существующей дамбы на реке Селенга и Уда, в центральной части г. Улан-Удэ""",Сооружения
00f472cc-7fd9-4671-a9b0-f3bc54afd58f,"""Реконструкция канализационных очистных сооружений г. Большой Камень""",Сооружения
01030c9d-f294-4cd1-bb06-62efe1f535ec,"""Зернохранилище вместимостью 3000 тонн""",Сооружения
011223d7-78b4-42ec-875f-f5087c81c962,"Капитальный ремонт строительных конструкций коллектора ""3-й Дорожный"" ПК0-ПК5",Сооружения
0138ad81-bfa9-44d3-a705-d9a05b198649,"Модернизация слаботочных систем магистрального коллектора ""Можайский"" ПК0-ПК278",Сооружения
013f317a-c9ab-4453-a9c2-46a637bf9717,Амурский газохимический комплекс (ГХК). Комплексные очистные сооружения с коллектором очищенных стоков и водовыпуском. Этап 2. Комплексные очистные сооружения,Сооружения
014432d4-7ae2-4f3c-b095-0c5186c55dd6,"""АГЭУ Забайкальского края. АГЭУ Тунгокочен""",Сооружения
0153fd3e-3e2a-455f-a60c-07f9975314c9,"Смотровая башня, расположенная на территории туристско-рекреационного кластера ""Волжская Булгария"", расположенного в Верхнеуслонском районе Республики Татарстан в районе горы Соколка (Тюбетей тауэр)",Сооружения
017ea9bc-c873-4be2-a8c0-f56ca89523e7,"""Каскад Кубанских ГЭС. Сенгилеевская ГЭС. Комплексная реконструкция и модернизация. Этап 4""",Сооружения
0186a9b6-851e-4e5b-ae85-cfb99e2594f0,"Разработка ПСД на восстановление подпорной стены у здания спального корпуса по адресу: Мурманская обл., Кольский район, д.135",Сооружения
0193f475-7c49-438e-985a-a30aba04cfda,"Реконструкция пассажирских платформ (25 платформ) Пассажирская платформа на на станции Верхнесадовое по адресу: г. Севастополь, Нахимовский р-н., ул.Локомотивная 25а",Сооружения
01a2045b-e29e-4a12-878d-f6fd83c0748f,"Антенно-мачтовое сооружение филиала РТРС ""Воронежский ОРТПЦ"" высотой 250 метров, расположенное по адресу: Воронежская обл. Богучарский р-н, с. Галиевка в северной части населенного пункта.",Сооружения
01c1276b-3b20-453d-ab4e-6c6f4ae0d659,"Строительство оросительной системы на площади 180 Га с. Хлевное, Хлевенского района, Липецкой области для мелиорации земель ООО ""Москва на Дону"".",Сооружения
01c7df62-4c26-4908-80d1-0af45c6202a6,"""Реконструкция канализационных насосных станций для ликвидации сброса неочищенных сточных вод в открытые водные источники и сбора всех сточных вод в магистральный коллектор для транспортировки их на очистные сооружения г. Каспийска. КНС №5"".",Сооружения
01db0962-9ea5-4105-a64d-39df4669d3b9,"Берегоукрепление р. Кудепста объекта ""Жилой комплекс на земельном участке с кадастровым номером 23:49:0401008:1449 по ул. Искры, 66/10, в м-не Кудепста Хостинского р-на г. Сочи. 1, 2 этап строительства""",Сооружения
02030fd7-e160-4c43-bc58-e23969b79a2e,"""Полигон размещения твердых коммунальных отходов в г. Якутске Республики Саха (Якутия)""",Сооружения
02049545-cc8c-4d92-af89-4555c306a951,Капитальный ремонт водозаборного узла в с.Лесное Бурлинского района Алтайского края,Сооружения
020b3c9e-860a-4857-a6e5-ac881f3fffd0,"Проект по переносу части русла ручья без названия, протекающего на земельных участках с кадастровыми номерами: 50:20:0010504:103, 50:20:0010504:104, 50:20:0010504:106, 50:20:0010504:107, 50:20:0010504:108, по адресу: Московская область, Одинцовский район, д.п. ""Ильинское"", в закрытый коллектор, ориентировочной длиной 300 м.",Сооружения
