Идентификатор,"Наименование и адрес (местоположение) объекта капитального строительства, применительно к которому подготовлена проектная документация",Расчетный тип объекта
000c7062-6aaf-4865-84a5-92df3ba5b844,"Теплосети, Краснодарский край, Северский район, ст-ца Северская, ул. Запорожская, (Протяженность 1828 м)",Теплопроводы
00116d1e-bb10-4a2a-a976-ce5332939dea,"""Строительство теплотрассы от ТК 6-12В до УT1 по ул. Братская с 2Д80 мм длиной 100м, Строительство участка теплотрассы от УT1 до жилого дома №91 (стр.) 2Д70 длиной 60м, Строительство участка теплотрассы от УТ1 до жилого дома №90 (стр.) 2Д70 длиной 20м""",Теплопроводы
003545cd-0491-4b56-b90d-b1810e15583d,"Строительство тепловой сети для подключения к системам теплоснабжения ПАО ""МОЭК"" объекта капитального строительства ""Офисное здание со встроено-пристроенными торговыми площадями и подземным паркингом, корпус 12.1, по адресу г. Москва, ул. Озерная, вл. 42"", расположенного по адресу: г. Москва, вн. тер. г. муниципальный округ Очаково-Матвеевское, улица Озёрная, земельный участок 42/5 с кадастровым номером: 77:07:0014002:2304",Теплопроводы
00563e7a-1cd4-4814-a086-452809adf28f,"Строительство тепловой сети для подключения к системам теплоснабжения ПАО ""МОЭК"" объекта капитального строительства ""Культурно-досуговый комплекс"", расположенного по адресу: г. Москва, ул. Дубравная, вл. 33.",Теплопроводы
005cb934-ef72-4f53-a62a-c84cc7044f74,"Строительство тепловой сети для подключения к системам теплоснабжения ПАО ""МОЭК"" объекта капитального строительства ""Многофункциональный комплекс"", расположенного по адресу: г. Москва, Заречная улица, вл. 2/1 с кадастровым номером: 77:07:0005010:10.",Теплопроводы
007ced3f-41d4-4767-a01f-71d5252bac14,"Капитальный ремонт тепловой сети, участок от ЦТП № 5 по ул. Мира в г. Карабаново Александровского района",Теплопроводы
007f3f24-d7c0-465e-bac8-f925b8130307,Реконструкция тепловода по ул.Ахтямова на участке внутриквартальных тепловых сетей от ТК 2-10 до ТК 2-10/5 по ул.Ахтямова в г.Казани Республики Татарстан,Теплопроводы
0094af57-814e-4aee-ad44-517e9b13a97a,"""Строительство тепловых сетей в г. Мезень Архангельской области""",Теплопроводы
009801ba-3a9f-455a-b40e-dc4e7aff77f3,"""Капитальный ремонт магистральных тепловых сетей Ду 500 мм по ул.Кортунова от ТК в районе ""Узел связи"" до ТК в районе Ж/д 28-15 по ул.Кортунова с применением предизолированных трубопроводов в ППУ изоляции с капроновой оболочкой""",Теплопроводы
009b4395-7423-465f-9cf3-1bedd0400364,"""Реконструкция системы теплоснабжения. Котельная N19 ""Совхоз-колледж"", г. Красноуфимск, ул. Пролетарская, 60к""",Теплопроводы
