Идентификатор,"Наименование и адрес (местоположение) объекта капитального строительства, применительно к которому подготовлена проектная документация",Расчетный тип объекта
00214b62-1658-4006-be7b-26ff91363439,Центрально-Уранское месторождение. Сбор нефти и газа с куста добывающих скважин № 5,Технологические установки
0022bac6-ccbe-4df9-ae7c-c33eaec07fe3,"""Куст №53Б Потанай-Картопьинского месторождения""",Технологические установки
0047ba8e-076e-496a-bd8b-a6f011a848cf,Разработка Туронской залежи Харампурского месторождения на полное развитие. Обустройство кустовой площадки К-316 Туронской залежи Харампурского месторождения,Технологические установки
005f70b1-ca65-42d9-a04e-09d1c11a6eef,"""СК Степное-2"", ""Система автономного газоснабжения газоиспользующего оборудования, от резервуарной установки сжиженного углеводородного газа (СУГ)""",Технологические установки
0065e73a-0eae-4a2d-9135-5564c95d5118,"""Орловский битумный терминал""",Технологические установки
007444cb-1d12-4472-b32d-a971b09d8799,"Чутырско-Киенгопское газонефтяное месторождение. Киенгопская площадь. Обустройство после бурения. Куст 97. Скважины 3441, 3470",Технологические установки
007e90d1-d015-4fe8-b711-489fc64a2a89,"Обустройство Южно-Сардаковского лицензионного участка. Обустройство кустов скважин №1, 2, 3, 4, 5, 7, разведочных скважин №34Р, 38Р, 39Р, поисковой скважины №21П",Технологические установки
00ac8569-a465-4845-87c9-29377ed2340d,Гремихинское н/м. Реконструкция УПСВ-27,Технологические установки
00b0369f-6d3d-4214-a743-bf87ab7473f4,«Обустройство Ванкорской группы месторождений. Куст газовых скважин № 6г с коридорами коммуникаций. Этап строительства № 2»,Технологические установки
00b9f73e-eeae-485e-a3d8-3886326bce06,"Строительство КСПГ с блоком реализации СПГ по адресу Краснодарский край, Павловский район",Технологические установки
00ca32f5-0b77-4156-90d7-c1e3321246f7,"Реконструкция ПСП ""Альметьевск"" СИКН №224 ПАО ""Татнефть"" на 16,5 млн тонн в год. Расширение резервуарного парка на МЦПС НГДУ ""Альметьевнефть""",Технологические установки
00ed9c11-fe69-4f28-a4bd-04616ba50c65,ОБУСТРОЙСТВО КУСТОВОЙ ПЛОЩАДКИ № 80 РУССКОГО МЕСТОРОЖДЕНИЯ И КОРИДОРА КОММУНИКАЦИЙ К НЕЙ,Технологические установки
0111ac11-fd42-42f7-ae57-db92e3f7fd75,Обустройство Тайлаковского месторождения нефти. Здание для размещения вахтового персонала на 60 человек в районе ДНС-2,Технологические установки
012ec5a7-fcdb-4cdb-899b-3a70b527b019,Обустройство куста скважин №5500 Старо-Кадеевского нефтяного месторождения,Технологические установки
01415902-aa0e-430f-8827-a89d02e0d9f8,"""Расширение площадки скважины №101 Красновского месторождения. Обустройство скважин малого диаметра №№20Д,102 Красновского месторождения (лицензия СМР 02275 НР, код участка недр 92275)""",Технологические установки
014ff9ac-9e5c-405c-b034-5466780cac42,"Обустройство Самотлорского месторождения. Куст скважин №№688, 1017Б,1808, 1822Б, 1828 и линейные сооружения",Технологические установки
015fd91c-1610-4697-b762-66a849bee396,"""Строительство 3-х РВС-4900 м³, установки слива-налива и насосной станции на складе битума""",Технологические установки
01a3e3ae-e71f-40b0-b0b3-1127c4f53174,"""Обустройство Геофизического НГКМ. Объекты подготовки""",Технологические установки
01b0a746-62a9-411d-8244-993ab9a80830,Обустройство Бавлинского нефтяного месторождения 2022 год,Технологические установки
01be43b8-a012-4974-83cc-e3ce71e0c6c9,"""ГРС Дмитров-2"" 1 Этап - строительство газопровода-отвода и ГРС производительностью 135 тыс. м3/час",Технологические установки
01d97094-9be6-4ee7-b0e5-1130b936d9f2,Обустройство Западно-Асомкинского месторождения нефти. Куст скважин № 52,Технологические установки
01dd47e2-88bf-41c9-95dc-d6af6c7cfe73,"Площадка для размещения мобильной АГНКС КС ""Данилов"" Переславского ЛПУМГ ООО ""Газпром трансгаз Ухта""",Технологические установки
01e7dad8-7a53-4fbf-be23-f4ac349d4950,Обустройство Самотлорского месторождения. Куст скважин №336 и линейные сооружения,Технологические установки
01e95ca3-9711-404f-9c34-763d99f93a9a,"""Установка комплексной подготовки газа"".",Технологические установки
01ea43e0-0359-47ad-8cda-9553d34d79ca,"""Обустройство Мишаевского нефтяного месторождения (3-я очередь)"" Инженерные коммуникации к кустовой площадке.",Технологические установки
0210f6ce-726b-4fcf-b4db-c48d3b9b272e,"""Обустройство газового месторождения Каменномысское-море"". Этап 2. Береговые сооружения обустройства газового месторождения Каменномысское-море",Технологические установки
02252b21-5e84-4ab6-919c-b9349d153853,"РВС-5000 №2 ЛПДС ""Большая Черниговка"" Самарского РНУ. Строительство",Технологические установки
022bd864-e65c-420a-8997-2a88e18343f6,"""Самотлорское месторождение"" ЦППН-3 КСП-10. Строительство ПГС и системы противопожарной защиты АО ""Самотлорнефтегаз""",Технологические установки
024f62b5-7868-47ab-9fa5-abcb9afdc196,Обустройство Песцового месторождения. Куст поглощающих скважин,Технологические установки
026d04ed-f257-411a-a360-a37313fa2477,"""Обустройство скважин №№80, 81, 82 Бешкульского месторождения и строительство выкидного трубопровода""",Технологические установки
026fdecf-de04-437b-9a0f-b66d98814170,Комплексный проект строительства и обустройства куста №5 Аряжского месторождения,Технологические установки
0270eecb-cae9-4ac0-9dd5-b7e77528c9b3,Обустройство Вынгапуровского месторождения. Куст скважин № 53 вторая очередь,Технологические установки
0272dd14-2fbb-4ce0-b20f-daa32d4dab29,"Блок КПГ Нюксенского ЛПУМГ ООО ""Газпром трансгаз Ухта""",Технологические установки
02777d63-66a4-4ddb-badf-67c7312a9cb9,"""Обустройство Самотлорского месторождения. Кустовая площадка № 4404 и линейные сооружения""",Технологические установки
0277c7f4-eaa9-4534-8152-a9970f51624c,"""Реконструкция дюкерного перехода межпромыслового нефтепровода ДНС ""Макарьельское"" - УПН ""Щельяюр""",Технологические установки
029f1443-4715-4365-98e5-2584e464aa27,"""Установка налива жидких углеводородов на УПГ Ярудейского месторождения""",Технологические установки
02a154ae-6741-4d68-9c33-e8f1bd9ebde5,Обустройство Восточных блоков Среднеботуобинского НГКМ. Кустовая площадка №13,Технологические установки
02a9d559-3124-4e47-b245-fe7e6c494e53,"Обустройство Вынгапуровского, Холмогорского месторождения. Водоводы высокого давления",Технологические установки
02b0cfec-839b-4a31-9a83-b921c31fd865,Обустройство Суторминского месторождения. Куст скважин № 131. Вторая очередь,Технологические установки
02ba9006-1f00-4398-978c-20ab2e3c9100,Обустройство Иркинского лицензионного участка. Центральный пункт сбора,Технологические установки
02c66a90-c6a6-4ee7-a999-4371ca2040a8,"""ОБУСТРОЙСТВО КУСТОВОЙ ПЛОЩАДКИ №5БИС КОШИНСКОГО ЛИЦЕНЗИОННОГО УЧАСТКА"". КОРРЕКТИРОВКА",Технологические установки
02ef6651-b01c-42c9-9a73-ade66063c6b4,Обустройство жилого городка на территории кустовой площадки №43 Южной части Приобского месторождения,Технологические установки
02fa4a9e-4a66-4d9a-9eed-2aeafd2f4102,"""Резервуары РВС-5000 м3 №3 на ДНС-1 и ДНС-2 Тайлаковского месторождения""",Технологические установки
032cbe58-13e4-4c25-9dd9-6f4f67be9e68,"""Обустройство Западно-Лугинецкого месторождения. Куст скважин №23""",Технологические установки
033013e4-2aed-4ccc-94d1-a1367b25a443,Комплекс сжижения природного газа (КСПГ) производительностью 1500 кг/час в Амурской области.,Технологические установки
033b0afa-cab2-4b8f-a992-8254ce104a7e,"""Северо-Мукеркамылькское нефтяное месторождение. Установка предварительного сброса воды (УПСВ)""",Технологические установки
033b232f-6cc3-43fa-90fa-3ddc2069568d,"Пробная эксплуатация Западно-Чатылькинского месторождения. Кусты скважин №4, 4 БИС",Технологические установки
037ed638-1fdd-4b40-a3d5-d7fe5c531b56,"""Обустройство Умсейского месторождения. Куст скважин №3Б. Третья очередь""",Технологические установки
0386c0c4-37a4-46ff-8b0f-8fc8b4f0bc76,"""Обустройство скважин Северо-Рачковского месторождения. 3 очередь""",Технологические установки
03929a16-6778-45d8-b065-acf2082e6bd0,Обустройство скважины № 2002 Сорочинско-Никольского месторождения,Технологические установки
0394c9db-907b-44b0-9fcc-ba2d9b1945e5,"Обустройство Самотлорского месторождения. Куст скважин №№509В, 512Б, 550Б и линейные сооружения",Технологические установки
03b70b02-965e-4abf-8d0e-32001601309e,"«Строительство установки подготовки нефти, склада нефтепродуктов с железнодорожной и автомобильной эстакадами нефтепродуктов на существующих путях ООО «Эко Русь компани»",Технологические установки
03c3908c-6b8b-4d78-b5c9-be0967c7f59a,"""Обустройство Западно-Таркосалинского месторождения. Куст скважин №4""",Технологические установки
03c5a90c-819d-490f-97fd-0e43ee064b14,"""Обустройство дополнительных скважин Ивинского нефтяного месторождения. Обустройство куста №30 (проектные скважины №№4900, 4901, 4902, 4903, 4904, 4905, 4906, 4907, 4908, 4909)."" Обустройство куста №31 (проектные скважины №№5075, 5076, 5077, 5078, 5079, 5080, 5081, 5082, 5083, 5084).",Технологические установки
03d8fed6-65b1-41e4-8908-f60979b5f06e,ОБУСТРОЙСТВО КУСТА №4086 ХАРЬЯГИНСКОГО МЕСТОРОЖДЕНИЯ,Технологические установки
03e11ff5-f2bb-4c41-89aa-6fec2c06c30b,РЕКОНСТРУКЦИЯ ГАЗОПРОВОДА ДНС-7 ВОЗЕЙ ДО КС-1 ГОЛОВНЫЕ,Технологические установки
042d5c1a-ce60-41de-9fb7-4f4bd3c61d72,"""Обустройство кустовой площадки № 5. Вареягского месторождения нефти Пограничного лицензионного участка. Корректировка""",Технологические установки
04303327-1e3b-4dfd-9ee5-f8a1611c3eca,"""Обустройство Северо-Янгтинского месторождения. Куст скважин №2, третья очередь.""",Технологические установки
0437b0cf-d12d-401f-8379-a6b1bf0a0e01,"""Нефтегазопровод от куста скважин 264"". Восточно-Сургутское нефтяное месторождение.",Технологические установки
043f5c58-97b6-428e-8fa2-66fd09763d4d,"""Обустройство Северо-Островного месторождения нефти. Куст скважин №41""",Технологические установки
04411745-cf29-4210-9b34-cc454c006746,"""Установка подготовки нефти Ичёдинского нефтяного месторождения. II этап строительства""",Технологические установки
